weather_condition,distance_km,delivery_time_hours,time_diff_bin
foggy,127.5,6,Mucho antes
clear,295.3,10,Mucho antes
foggy,297.1,12,Mucho tarde
foggy,123.5,8,Ligeramente antes
stormy,280.4,11,Mucho antes
hot,74.1,3,Ligeramente antes
cold,58.9,2,Ligeramente antes
clear,197.4,8,Mucho antes
foggy,150.6,7,Ligeramente antes
hot,224.0,4,Mucho antes
rainy,33.9,4,Mucho antes
cold,145.2,5,Mucho antes
stormy,204.9,9,Mucho antes
foggy,150.8,6,Mucho antes
clear,86.6,3,Mucho antes
stormy,150.7,8,Mucho antes
clear,176.0,5,Mucho antes
rainy,165.6,7,Mucho antes
foggy,170.2,5,Mucho antes
clear,133.4,4,Ligeramente antes
clear,100.0,4,Mucho antes
cold,22.1,1,Mucho antes
foggy,14.9,4,Mucho antes
clear,160.6,6,Mucho antes
rainy,257.8,7,Ligeramente antes
stormy,235.9,11,Mucho antes
cold,161.3,5,Ligeramente antes
foggy,192.2,7,Ligeramente tarde
rainy,293.0,9,Mucho antes
foggy,290.2,11,Mucho tarde
hot,297.1,5,Mucho antes
clear,5.9,1,Ligeramente antes
stormy,191.2,8,Ligeramente antes
foggy,223.8,8,Ligeramente antes
cold,31.8,2,Mucho antes
foggy,109.6,5,Mucho antes
stormy,50.4,9,Mucho antes
hot,116.0,3,Mucho antes
hot,132.9,3,Mucho antes
clear,54.3,2,Mucho antes
foggy,149.3,6,Mucho antes
clear,57.1,4,Mucho antes
clear,276.8,12,Mucho antes
foggy,51.7,5,Mucho antes
foggy,154.3,4,Mucho antes
hot,103.9,4,Mucho antes
hot,127.4,6,Ligeramente tarde
cold,117.4,3,Ligeramente antes
rainy,293.6,10,Ligeramente tarde
stormy,199.4,8,Mucho tarde
clear,15.6,1,Mucho antes
foggy,250.7,7,Mucho antes
clear,164.1,2,Mucho antes
cold,35.8,3,Mucho antes
stormy,142.0,6,Mucho antes
clear,40.9,2,Mucho antes
foggy,167.7,7,Ligeramente tarde
hot,111.8,3,Mucho antes
hot,21.0,0,Mucho antes
hot,196.4,4,Mucho antes
stormy,70.8,8,Ligeramente antes
cold,230.1,8,Mucho antes
cold,271.2,9,Mucho antes
foggy,73.6,4,Mucho antes
cold,92.4,1,Mucho antes
hot,14.9,1,Mucho antes
clear,145.0,5,Ligeramente tarde
hot,252.2,9,Mucho antes
rainy,33.9,4,Ligeramente tarde
cold,51.2,2,Mucho antes
rainy,223.6,12,Mucho antes
foggy,191.8,6,Mucho antes
cold,60.6,2,Mucho antes
hot,52.2,1,Mucho antes
clear,22.1,3,Mucho antes
cold,6.3,1,Mucho antes
foggy,127.4,8,Mucho antes
stormy,33.2,7,Mucho antes
clear,88.3,4,Mucho antes
clear,262.3,6,Mucho antes
foggy,15.8,1,Ligeramente antes
foggy,239.2,8,Mucho antes
clear,115.1,5,Mucho antes
clear,124.2,6,Mucho antes
hot,291.8,7,Mucho antes
stormy,171.0,12,Mucho antes
stormy,12.0,5,Mucho antes
stormy,238.4,11,Mucho tarde
cold,166.8,4,Mucho antes
foggy,233.3,7,Mucho antes
cold,46.2,2,Ligeramente antes
rainy,79.5,7,Mucho tarde
hot,273.2,9,Ligeramente tarde
stormy,129.5,9,Mucho antes
rainy,153.7,6,Mucho antes
clear,193.3,4,Mucho antes
clear,159.0,8,Mucho antes
stormy,225.4,12,Mucho antes
clear,67.7,5,Mucho antes
stormy,276.3,13,Mucho antes
hot,17.1,1,Ligeramente antes
hot,150.4,5,Mucho antes
clear,297.1,7,Mucho antes
clear,198.0,7,Ligeramente antes
rainy,145.2,7,Mucho tarde
foggy,285.8,8,Ligeramente tarde
clear,24.3,1,Mucho antes
foggy,127.3,6,Mucho antes
clear,271.2,8,Ligeramente antes
clear,204.4,6,Mucho antes
foggy,111.2,5,Mucho antes
stormy,293.3,15,Mucho tarde
foggy,228.0,8,Ligeramente tarde
hot,293.2,6,Ligeramente antes
rainy,175.5,9,Mucho antes
clear,3.6,1,Mucho antes
cold,291.6,7,Mucho antes
foggy,247.4,7,Mucho antes
stormy,165.5,13,Mucho antes
hot,49.1,3,Ligeramente tarde
rainy,264.4,10,Ligeramente tarde
clear,191.6,6,Mucho antes
cold,3.6,1,Mucho antes
hot,148.6,6,Mucho antes
stormy,294.7,11,Mucho tarde
cold,176.2,6,Mucho antes
foggy,213.5,8,Mucho antes
clear,197.8,6,Mucho antes
hot,156.1,7,Ligeramente tarde
hot,207.9,6,Mucho antes
foggy,59.5,4,Mucho antes
rainy,102.0,5,Mucho antes
hot,266.9,8,Mucho antes
clear,81.7,4,Ligeramente tarde
clear,125.6,2,Mucho antes
cold,31.9,1,Mucho antes
rainy,279.2,11,Mucho antes
hot,81.5,3,Mucho antes
stormy,174.7,13,Mucho tarde
cold,120.2,3,Ligeramente antes
cold,104.7,5,Ligeramente tarde
foggy,51.3,2,Mucho antes
hot,297.1,9,Mucho antes
clear,87.5,3,Mucho antes
cold,119.5,4,Mucho antes
cold,58.6,4,Ligeramente tarde
rainy,188.6,11,Mucho tarde
stormy,26.8,7,Mucho tarde
cold,199.2,6,Ligeramente tarde
rainy,151.4,9,Ligeramente tarde
clear,194.6,9,Mucho antes
cold,3.6,1,Mucho antes
rainy,202.4,11,Mucho tarde
clear,14.7,2,Mucho antes
foggy,275.3,7,Mucho antes
foggy,238.2,8,Ligeramente tarde
rainy,38.0,4,Mucho antes
cold,167.3,5,Ligeramente antes
clear,287.1,11,Mucho tarde
cold,73.5,3,Mucho antes
stormy,22.7,4,Ligeramente tarde
rainy,127.3,6,Mucho antes
foggy,42.3,5,Mucho antes
clear,233.5,11,Mucho tarde
cold,273.7,6,Mucho antes
hot,135.4,5,Mucho antes
cold,297.1,9,Mucho antes
clear,57.8,2,Mucho antes
cold,275.4,11,Mucho tarde
hot,97.7,4,Mucho antes
stormy,270.7,15,Mucho tarde
stormy,271.4,10,Ligeramente tarde
rainy,105.3,5,Mucho antes
stormy,7.1,3,Mucho antes
cold,91.5,2,Mucho antes
hot,131.5,3,Ligeramente antes
foggy,295.2,9,Mucho antes
stormy,207.2,12,Mucho tarde
foggy,190.8,6,Mucho antes
foggy,193.9,5,Mucho antes
stormy,119.5,10,Mucho antes
foggy,207.2,5,Ligeramente antes
stormy,84.6,6,Mucho antes
cold,225.9,4,Mucho antes
clear,195.9,6,Mucho antes
foggy,224.2,10,Ligeramente tarde
rainy,46.3,5,Mucho antes
clear,166.1,6,Ligeramente tarde
clear,58.3,1,Mucho antes
foggy,94.2,5,Ligeramente tarde
clear,237.8,7,Ligeramente antes
hot,125.8,4,Mucho antes
foggy,15.9,3,Mucho antes
rainy,267.7,15,Mucho antes
cold,33.1,1,Mucho antes
stormy,149.7,11,Mucho tarde
hot,143.1,2,Mucho antes
hot,120.3,6,Mucho antes
rainy,3.6,3,Mucho antes
stormy,77.0,6,Mucho antes
clear,47.5,2,Ligeramente antes
stormy,49.9,7,Mucho antes
cold,38.8,2,Ligeramente antes
rainy,247.4,9,Ligeramente tarde
hot,31.2,1,Mucho antes
clear,100.6,4,Mucho antes
stormy,174.4,9,Mucho antes
clear,13.2,1,Mucho antes
cold,158.0,3,Mucho antes
foggy,139.7,6,Mucho antes
cold,257.6,7,Mucho antes
cold,35.7,1,Ligeramente antes
clear,18.5,3,Mucho antes
stormy,45.0,9,Mucho antes
stormy,143.4,8,Ligeramente antes
foggy,32.4,5,Mucho antes
hot,185.1,6,Mucho antes
foggy,238.2,7,Mucho antes
cold,167.1,7,Ligeramente antes
stormy,108.2,7,Ligeramente antes
foggy,134.6,8,Ligeramente antes
cold,73.5,4,Mucho antes
hot,255.8,10,Mucho tarde
rainy,97.7,8,Ligeramente antes
foggy,257.7,13,Mucho tarde
clear,289.8,8,Mucho antes
foggy,77.4,4,Mucho antes
stormy,257.5,14,Mucho tarde
stormy,251.1,10,Mucho antes
hot,183.8,6,Ligeramente tarde
rainy,250.3,8,Mucho antes
foggy,128.2,5,Ligeramente tarde
hot,181.3,5,Mucho antes
hot,122.3,3,Ligeramente antes
foggy,297.1,13,Mucho tarde
hot,160.0,6,Mucho antes
cold,71.9,4,Mucho antes
foggy,201.4,10,Mucho tarde
hot,227.7,7,Mucho antes
rainy,258.5,10,Mucho tarde
stormy,4.8,5,Mucho tarde
rainy,224.4,12,Mucho antes
hot,159.6,4,Mucho antes
foggy,218.2,9,Mucho antes
cold,158.7,6,Mucho antes
cold,99.6,3,Ligeramente antes
foggy,11.5,5,Mucho antes
clear,96.8,4,Mucho antes
hot,197.1,7,Mucho antes
cold,3.9,1,Mucho antes
cold,276.5,5,Mucho antes
rainy,120.4,8,Mucho tarde
clear,19.8,2,Mucho antes
clear,264.7,5,Mucho antes
foggy,55.0,3,Mucho antes
rainy,18.4,3,Mucho antes
clear,24.5,3,Mucho antes
rainy,158.9,8,Ligeramente antes
foggy,86.5,4,Mucho antes
clear,252.7,7,Ligeramente antes
hot,164.1,7,Ligeramente tarde
cold,84.1,3,Mucho antes
rainy,175.7,7,Mucho antes
stormy,283.3,11,Mucho tarde
clear,258.9,6,Ligeramente antes
clear,41.8,1,Ligeramente antes
rainy,261.7,13,Mucho tarde
cold,110.5,4,Mucho antes
hot,116.0,4,Mucho antes
hot,151.7,5,Ligeramente antes
clear,230.7,5,Mucho antes
rainy,127.3,7,Mucho antes
stormy,198.7,12,Mucho tarde
foggy,51.9,3,Mucho antes
hot,89.2,3,Mucho antes
stormy,284.4,10,Mucho antes
stormy,126.6,9,Mucho antes
stormy,218.2,12,Mucho tarde
cold,24.8,1,Mucho antes
stormy,10.1,6,Mucho antes
hot,16.7,1,Mucho antes
foggy,210.7,6,Mucho antes
clear,18.0,1,Mucho antes
stormy,181.0,11,Mucho tarde
cold,76.0,5,Mucho antes
hot,43.0,4,Ligeramente tarde
stormy,208.1,10,Ligeramente tarde
cold,163.6,5,Mucho antes
cold,267.5,11,Mucho antes
cold,218.4,5,Mucho antes
cold,97.5,4,Mucho antes
rainy,38.8,3,Mucho antes
clear,191.5,5,Mucho antes
foggy,104.9,6,Ligeramente tarde
rainy,50.5,3,Mucho antes
clear,172.3,5,Mucho antes
stormy,198.9,10,Mucho antes
clear,86.4,2,Mucho antes
clear,216.8,5,Ligeramente antes
rainy,21.4,6,Mucho antes
foggy,219.2,6,Mucho antes
stormy,32.6,6,Mucho antes
cold,207.5,5,Ligeramente antes
stormy,131.1,8,Mucho antes
stormy,46.4,6,Mucho antes
rainy,7.3,5,Mucho antes
rainy,253.8,8,Mucho antes
stormy,264.0,12,Mucho tarde
rainy,111.6,6,Ligeramente tarde
clear,198.1,7,Mucho antes
hot,261.0,9,Mucho antes
cold,27.8,3,Mucho antes
cold,152.3,3,Mucho antes
hot,128.0,6,Mucho antes
cold,65.4,1,Mucho antes
hot,76.0,4,Ligeramente tarde
clear,275.5,5,Mucho antes
foggy,208.8,7,Ligeramente antes
clear,187.7,6,Mucho antes
rainy,194.5,7,Mucho antes
cold,124.6,4,Mucho antes
hot,236.5,7,Ligeramente tarde
cold,224.0,4,Mucho antes
foggy,131.4,5,Mucho antes
rainy,44.9,6,Mucho antes
foggy,30.1,3,Mucho antes
rainy,238.7,6,Mucho antes
cold,211.1,7,Ligeramente tarde
stormy,135.5,11,Mucho antes
clear,41.7,0,Mucho antes
rainy,232.2,9,Ligeramente tarde
foggy,108.4,3,Mucho antes
hot,233.2,10,Mucho antes
cold,210.1,8,Ligeramente antes
rainy,279.1,8,Mucho antes
hot,21.3,3,Mucho antes
hot,193.4,9,Mucho tarde
hot,238.0,8,Ligeramente antes
rainy,88.2,8,Mucho antes
foggy,221.3,7,Ligeramente tarde
clear,90.0,3,Ligeramente antes
stormy,190.9,10,Mucho tarde
foggy,204.5,11,Mucho tarde
foggy,268.6,11,Mucho tarde
clear,285.3,6,Mucho antes
cold,297.1,13,Mucho tarde
stormy,208.5,9,Mucho antes
rainy,174.1,13,Mucho tarde
clear,205.2,5,Mucho antes
foggy,224.4,6,Mucho antes
clear,244.9,11,Mucho tarde
rainy,88.0,6,Mucho tarde
hot,213.0,9,Ligeramente tarde
clear,58.4,1,Mucho antes
stormy,31.8,4,Mucho antes
hot,238.2,5,Ligeramente antes
stormy,174.5,13,Mucho antes
clear,143.3,7,Ligeramente antes
rainy,120.1,6,Mucho antes
rainy,77.4,5,Mucho antes
cold,176.3,3,Mucho antes
hot,26.5,2,Ligeramente antes
cold,209.3,5,Ligeramente antes
clear,146.8,6,Mucho antes
foggy,189.5,5,Ligeramente antes
foggy,10.4,3,Mucho antes
hot,112.9,4,Mucho antes
clear,120.5,4,Ligeramente antes
hot,173.8,5,Ligeramente antes
foggy,270.7,11,Mucho tarde
cold,215.3,8,Mucho antes
rainy,242.0,11,Mucho antes
cold,227.9,8,Mucho antes
cold,59.5,3,Mucho antes
foggy,154.5,6,Mucho antes
cold,220.8,6,Mucho antes
foggy,161.2,5,Ligeramente antes
stormy,284.9,15,Mucho tarde
cold,155.9,7,Ligeramente antes
rainy,164.8,11,Mucho antes
foggy,36.8,5,Mucho antes
clear,24.7,1,Mucho antes
stormy,18.6,8,Ligeramente antes
rainy,45.7,5,Mucho antes
clear,201.9,9,Mucho antes
cold,54.3,1,Mucho antes
rainy,33.3,8,Mucho tarde
hot,184.2,6,Mucho antes
clear,257.6,7,Mucho antes
rainy,10.9,6,Mucho antes
clear,152.3,5,Mucho antes
hot,58.3,3,Ligeramente antes
foggy,274.4,9,Ligeramente tarde
cold,126.1,4,Ligeramente antes
stormy,194.5,9,Mucho tarde
rainy,131.0,8,Ligeramente antes
hot,245.5,4,Mucho antes
cold,148.3,5,Mucho antes
stormy,283.8,10,Ligeramente tarde
hot,108.3,3,Mucho antes
hot,216.7,6,Ligeramente antes
clear,27.5,3,Mucho antes
rainy,49.5,5,Mucho antes
hot,159.4,8,Mucho antes
hot,78.5,1,Mucho antes
rainy,18.6,5,Mucho antes
clear,75.1,1,Mucho antes
stormy,82.0,8,Mucho tarde
rainy,187.3,10,Ligeramente tarde
clear,50.7,1,Mucho antes
foggy,278.6,7,Mucho antes
rainy,86.8,7,Mucho antes
cold,289.1,7,Ligeramente antes
hot,127.6,5,Mucho antes
clear,219.9,8,Mucho antes
cold,203.8,5,Ligeramente antes
rainy,85.0,6,Mucho antes
clear,133.6,3,Mucho antes
clear,69.6,2,Mucho antes
foggy,265.5,7,Ligeramente antes
foggy,266.0,6,Mucho antes
cold,108.6,4,Mucho antes
rainy,123.2,6,Mucho antes
hot,91.5,2,Mucho antes
clear,90.4,6,Mucho antes
hot,27.2,1,Mucho antes
foggy,192.3,6,Mucho antes
stormy,230.7,9,Mucho antes
foggy,102.9,4,Mucho antes
hot,151.0,5,Mucho antes
stormy,7.6,4,Mucho antes
foggy,189.4,5,Mucho antes
cold,98.2,3,Mucho antes
clear,45.2,1,Mucho antes
cold,4.3,2,Ligeramente antes
stormy,128.7,9,Mucho tarde
clear,201.3,5,Mucho antes
foggy,72.8,3,Mucho antes
foggy,51.2,5,Mucho antes
clear,184.3,6,Mucho antes
cold,178.5,5,Mucho antes
cold,92.2,2,Mucho antes
stormy,255.4,13,Mucho antes
clear,179.5,6,Ligeramente tarde
foggy,244.8,10,Mucho tarde
hot,277.2,11,Mucho antes
foggy,202.9,9,Mucho tarde
stormy,88.4,8,Mucho antes
cold,203.5,4,Mucho antes
rainy,126.9,8,Mucho antes
cold,55.2,3,Mucho antes
cold,53.1,1,Mucho antes
rainy,46.9,6,Mucho antes
cold,140.0,6,Ligeramente tarde
rainy,178.7,11,Mucho tarde
hot,292.4,11,Mucho tarde
hot,202.3,9,Mucho antes
cold,70.4,4,Mucho antes
clear,250.7,6,Mucho antes
stormy,295.2,11,Mucho tarde
cold,124.5,5,Ligeramente tarde
clear,264.2,10,Mucho tarde
clear,223.5,8,Ligeramente antes
clear,95.5,2,Ligeramente antes
foggy,3.6,1,Ligeramente antes
stormy,209.8,7,Ligeramente tarde
hot,289.6,9,Mucho antes
foggy,41.5,2,Ligeramente antes
cold,274.6,8,Mucho antes
clear,62.9,4,Mucho antes
stormy,162.9,9,Mucho antes
foggy,166.2,7,Ligeramente antes
stormy,67.0,6,Mucho antes
stormy,8.2,4,Mucho antes
hot,52.9,2,Mucho antes
hot,117.8,3,Ligeramente antes
cold,57.6,4,Mucho antes
foggy,201.6,8,Ligeramente tarde
clear,146.9,3,Mucho antes
clear,106.9,3,Mucho antes
stormy,70.6,5,Mucho antes
clear,199.0,5,Ligeramente antes
hot,267.7,8,Mucho antes
clear,195.6,6,Ligeramente tarde
cold,123.3,3,Mucho antes
cold,9.3,2,Mucho antes
foggy,237.3,5,Ligeramente antes
cold,157.9,6,Mucho antes
cold,20.6,2,Ligeramente antes
hot,218.5,7,Mucho antes
stormy,69.8,5,Mucho antes
rainy,90.4,9,Mucho antes
foggy,195.7,9,Mucho tarde
foggy,57.4,5,Ligeramente tarde
cold,97.2,2,Mucho antes
stormy,209.6,11,Mucho antes
clear,95.3,2,Mucho antes
clear,28.4,1,Ligeramente antes
cold,30.9,2,Mucho antes
foggy,162.8,5,Mucho antes
stormy,297.1,14,Mucho tarde
cold,157.4,6,Mucho antes
stormy,293.2,11,Mucho tarde
foggy,272.1,11,Mucho tarde
hot,263.3,6,Mucho antes
foggy,134.7,8,Mucho tarde
cold,170.0,5,Mucho antes
clear,190.9,5,Mucho antes
cold,3.6,1,Mucho antes
clear,14.1,2,Mucho antes
foggy,287.9,11,Mucho tarde
rainy,132.5,7,Mucho antes
hot,250.9,7,Ligeramente antes
foggy,37.6,4,Ligeramente tarde
hot,78.1,4,Mucho antes
stormy,16.7,6,Mucho antes
foggy,229.0,12,Mucho tarde
hot,78.3,3,Mucho antes
rainy,237.5,9,Ligeramente tarde
rainy,233.9,10,Mucho antes
hot,31.8,3,Mucho antes
cold,86.4,4,Ligeramente tarde
stormy,161.2,7,Mucho antes
cold,242.2,7,Mucho antes
rainy,239.6,12,Mucho tarde
clear,162.2,4,Mucho antes
cold,208.9,7,Ligeramente tarde
hot,281.8,10,Mucho antes
foggy,123.8,5,Ligeramente tarde
cold,40.2,1,Mucho antes
cold,41.7,1,Mucho antes
foggy,113.1,6,Mucho antes
clear,35.7,1,Mucho antes
stormy,264.4,16,Ligeramente antes
cold,162.7,6,Mucho antes
stormy,231.0,12,Mucho antes
foggy,297.1,14,Mucho antes
rainy,121.8,6,Mucho antes
rainy,240.8,10,Mucho tarde
hot,220.6,5,Ligeramente antes
foggy,77.0,5,Mucho antes
stormy,35.6,6,Mucho antes
stormy,4.0,7,Ligeramente antes
rainy,248.2,9,Mucho tarde
rainy,294.0,12,Mucho tarde
hot,116.7,4,Mucho antes
stormy,160.6,8,Mucho antes
hot,59.6,4,Mucho antes
stormy,233.4,9,Mucho antes
clear,7.3,3,Mucho antes
stormy,41.3,7,Mucho tarde
clear,281.9,7,Mucho antes
foggy,92.2,7,Mucho antes
hot,162.6,5,Mucho antes
rainy,134.1,5,Mucho antes
cold,54.1,3,Mucho antes
hot,212.2,4,Mucho antes
cold,271.2,6,Mucho antes
stormy,170.5,12,Mucho antes
foggy,80.3,3,Ligeramente antes
clear,255.0,12,Mucho tarde
cold,89.1,4,Mucho antes
stormy,245.1,14,Mucho antes
hot,257.4,6,Mucho antes
rainy,255.4,10,Mucho antes
rainy,216.6,11,Mucho antes
foggy,287.8,12,Mucho tarde
foggy,268.5,13,Mucho tarde
